producto_original,producto_normalizado
CARIBU COCONUT 0.700,CARIBU COCONUT 0 700
CARUPANO SILVER 0 75L G,CARUPANO SILVER 0
VINO TINTO CATAME TEMPRANILLO,VINO TINTO CATAME TEMPRANILLO
CAVA MARQUES DE SOLIMONTE BRUT 0.75,CAVA MARQUES DE SOLIMONTE BRUT 0 75
WHISKY CHQUERS 0 75L,WHISKY CHQUERS 0
CHEQUERS 1,CHEQUERS 1
COINTREAU IMPORTADO 0.700,COINTREAU IMPORTADO 0 700
ESP CRUZ DEL SUR,ESP CRUZ DEL SUR
ESPUMANTE TRAPICHE ROSE,ESPUMANTE TRAPICHE ROSE
VT ESTANCIA MENDOZA,VT ESTANCIA MENDOZA
VINO BLANCO FINCA MORAS PINOT,VINO BLANCO FINCA MORAS PINOT
FRANGELICO 1,FRANGELICO 1
JARABE DE GRANADINA 700CC,JARABE DE GRANADINA
LICOR AMARGO BITTER SAN REMO 0.700,LICOR AMARGO BITTER SAN REMO 0 700
VINO TINTO NAVARRO ARG P MALBEC,VINO TINTO NAVARRO ARG P MALBEC
VINO TINTO NAVARRO ARG CABERNET,VINO TINTO NAVARRO ARG CABERNET
WHISKY OLD PARR 12 AÑOS 0.50L,WHISKY OLD PARR 12 AÑOS 0
WHISKY OLD PARR,WHISKY OLD PARR
PONCHE CREMA TRADICIONAL 1,PONCHE CREMA TRADICIONAL 1
PROSECCO I HEART EXTRA DRY 0.75,PROSECCO I HEART EXTRA DRY 0 75
PROSECCO I HEART ROSE 0.75,PROSECCO I HEART ROSE 0 75
RON CANCILLER BLANCO 67 20S,RON CANCILLER BLANCO 67 20S
RON CANCILLER ROJO 0.70,RON CANCILLER ROJO 0 70
RON CARUPANO SILVER 0 750,RON CARUPANO SILVER 0 750
SAMBUCA TOSCANA,SAMBUCA TOSCANA
SANGRIA CARIBEÑA 1.75,SANGRIA CARIBEÑA 1 75
SANGRIA CAROREÑA LATA VERANO 0 250L,SANGRIA CAROREÑA LATA VERANO 0
PROSSECCO SPERONE 0 75L,PROSSECCO SPERONE 0
VINO TINTO UNX SELECCION 0.75,VINO TINTO UNX SELECCION 0 75
VINO TINTO COUSIÑO D LUIS MERLOT G,VINO TINTO COUSIÑO D LUIS MERLOT
VINO BLANCO ALTO LOS ROMEROS,VINO BLANCO ALTO LOS ROMEROS
VODKA ABSOLUT,VODKA ABSOLUT
VT DON VALENTIN ARGENTINA 0 50L,VT DON VALENTIN ARGENTINA 0
VINO TINTO BENJAMIN MALBEC,VINO TINTO BENJAMIN MALBEC
WHISKY PROMOCION CHEQUERS 1,WHISKY PROMOCION CHEQUERS 1
WHISKY BLACK & WHITE 1,WHISKY BLACK & WHITE 1
USO ESTA PARA LOS NOMBRES,USO ESTA PARA LOS NOMBRES
AMARETO TOSCANA,AMARETO TOSCANA
AMARETTO DISARONNO,LDI AMARETTO SARONNO
AMARGO CAMPARI,AMARGO CAMPARI
AMARGO DE ANGOSTURA 100ML,AMARGO ANGOSTURA
APEROL,APEROL
BRANDY FABULOSO,BRANDY FABULOSO
BRANDY PURA CEPA 0 7,BRANDY PURA CEPA 0 7
BRANDY SEÑORIAL 0 7,BRANDY SEÑORIAL 0 70
CARIBU DE COCO 0.70,CARIBU DE COCO 0 70
COCUY DE PENCA,COCUY DE PENCA 0
COINTREAU 0 70ML,COINTREAU
COINTREAU 1T,COINTREAU 1T
CRUZ DEL SUR EXTRA BRUT,CRUZ DEL SUR EXTRA BRUT
CURACAO BLUE KUYPER,CURACAO BLUE KUYPER
FRANGELICO,FRANGELICO 1
GINEBRA GORDON 0.70,GINEBRA GORDONS 0 70
GINEBRA TANQUERAY TEN 0 75LT,GINEBRA TANQUERAY TEN 0
GINEBRA WELLINTONG,GINEBRA WELLINTONG
GRANADINA,GRANADINA
LICOR DE COCO 0 70LT,LICOR DE COCO
LICOR DE COCO MAMBO,LICOR DE COCO MAMBO
LIMONCELLO,LIMONCELLO
LIMONCELLO TOSCANA 0 70LT,LIMONCELLO TOSCANA
MIONETTO 0 5LT,MIONETTO 0
PONCHE CREMA ARTESANAL 1T,PONCHE CREMA ARTESANAL 1T
PONCHE CREMA BOT 0.75,PONCHE CREMA 0 75
PROSECCO DOC TREVISO SERENA,PROSECCO DOC TREVISO SERENA
PROSECCO I HEART WINES BLANCO BOT,PROSECCO I HEART WINES BLANCO
PROSECCO I HEART WINES ROSADO BOT,PROSECCO I HEART WINES ROSADO
PROSECCO SPERONE,PROSSECCO SPERONE 0
RON ANIVERSARIO PAMPERO,RON PAMPERO ANIVERSARIO 0 75
RON BLANCO CARUPANO FREZZ 0.75,RON BLANCO CARUPANO FREZZ 0 75
RON BLANCO CHINGON,RON BLANCO CHINGON
RON CACIQUE 0.75 L,RON CACIQUE 500
RON CACIQUE 500 0.75 L,RON CACIQUE 500
RON CALAZAN 0.70,RON CALAZAN 0 70
RON CANCILLER BLANCO,RON CANCILLER BLANCO
RON CANCILLER DORADO,RON CANCILLER DORADO 1T
RON DIPLOMATICO AÑEJO 0 7,RON DIPLOMATICO AÑEJO 0 7
RON DIPLOMATICO EXTRA AÑEJO ANARANJADO,RON DIPLOMATICO EXTRA AÑEJO ANARANJADO
RON DIPLOMATICO RESERV EXCLUS,RON DIPLOMATICO RESERV EXCLUS
RON SANTA TERESA 1796,RON SANTA TERESA 1796
RON SANTA TERESA 1796 COFFEE,RON SANTA TERESA 1796 COFFEE 0 75T
RON SANTA TERESA BLANCO 0 70L,RON BLANCO SANTA TERESA 0 70
RON SANTA TERESA LINAJE 0.70,RON SANTA TERESA LINAJE 0 70
RON SANTA TERESA SPEYSID 0 75L,RON SANTA TERESA SPEYSID 0
SAMBUCA NEGRONI,SAMBUCA NEGRONI
SAN REMO BITTER,SAN REMO BITTER
SANGRIA BLANCA 1.75,SANGRIA BLANCA 1 75
SANGRIA ROSADA 1.75,SANGRIA ROSADA 1 75
SANGRIA TINTA 1.75,SANGRIA TINTA 1 75
TEQUILA CUERVO AMARILLO 0 75LT,TEQUILA CUERVO AMARILLO 0
TEQUILA CUERVO AMARILLO,TEQUILA CUERVO AMARILLO 0
TEQUILA SOL MAYA 0.70,TEQUILA SOL MAYA 0 70
TRIPLE SEC TOSCANA LD 0 70L,LD TRIPLE SEC TOSCANA
V ESPUMANTE CHARLES DU LAC,V ESPUMANTE CHARLES DU LAC
V ESPUMANTE HENKEL TROCKEN,V ESPUMANTE HENKEL TROCKEN
V ESPUMANTE LOS COCHES BRUT,V ESPUMANTE LOS COCHES BRUT
V ESPUMANTE MARQUÉS DE SOLIMONTE BOT,V ESPUMANTE MARQUÉS DE SOLIMONTE
V ESPUMANTE TRAPICHE ROSE BOT,ESPUMANTE TRAPICHE ROSE
VB ALAMOS CHARDONNAY,VB ALAMOS CHARDONNAY
VB ALTO LOS ROMEROS SAUVIGNON,VB ALTO LOS ROMEROS SAUVIGNON
VB BUENOS AIRES CHARDONNAY,VB BUENOS AIRES CHARDONNAY
VB CRUZ DEL SUR,VB CRUZ DEL SUR
VB ESTANCIA MENDOZA CHARDONNAY,VB ESTANCIA MENDOZA CHARDONNAY
VB FINCA MORAS PINOT,VB FINCA MORAS PINOT
VB GATO NEGRO,VB GATO NEGRO
VB LINDA MORA,VB LINDA MORA
VB LOS COCHES SAUVIGNON,VB LOS COCHES SAUVIGNON
VB TOCORNAL,VB TOCORNAL
VODKA FRIA COCO 0.70 L,VODKA FRIA COCO 0 70
VODKA GORDON 0.70,VODKA GORDONS 0 70
VODKA HOLLIDAY 0.70,VODKA HOLLIDAY 0 70
VODKA STALISNAFF,VODKA STALISNAFF
VODKA STALISNAFF 0.75,VODKA STANISLAFF 0 75
VT ALTO CAMENERE,VT ALTO CARMENERE
VT ALTO LOS ROMEROS,VT ALTO LOS ROMEROS
VT BEJAMIN MALBEC,VT BEJAMIN MALBEC
VT CARMEN INSIGNE,VT CARMEN INSIGNE
VT CASTILLO MOL CAB 1/2,VT CASTILLO MOL CAB 1/2
VT CASTILLO MOL CABER,VT CASTILLO MOL CABER
VT CASTILLO MOL CARMENERE,VT CASTILLO MOL CARMENERE
VT CASTILLO MOL MERLOT,VT CASTILLO MOL MERLOT
VT CATAME TEMPRANILLO BOT,VT CATAME TEMPRANILLO
VT COSTA PACIFICO CABERNET,VT CABERNET SAU COSTA PACIFICO
VT COUSINO DON LUIS MERLOT,VT COUSINO DON LUIS MERLOT
VT CRUZ DEL SUR,VB CRUZ DEL SUR
VT DON VALENTIN 1/2 BOT,VT DON VALENTIN 1/2
VT FINCA LAS MORAS CABERNET,VT FINCA LAS MORAS CABERNET
VT GATO NEGRO MERLOT,VT GATO NEGRO MERLOT
VT LA HUERTA CABERNET SAUVIGNON,VT GATO CABERNET SAUVIGNON LA HUERTA
VT LA HUERTA MERLOT,VT LA HUERTA MERLOT
VT LINDA MORA,VB LINDA MORA
VT LOS COCHES BOT,VT LOS COCHES
VT NAVARRO C CARBERNET BOT,VT NAVARRO C CARBERNET
VT NAVARRO C MALBEC BOT,VT NAVARRO C MALBEC
VT PORTILLO PINOT NOIR,VT PORTILLO PINOT NOIR
VT RIPATELLO MERLOT,VT RIPATELLO MERLOT
VT TRAPICHE MERLOT,VT TRAPICHE MERLOT
WHISKY BLACK LABEL 0.75,WHISKY BLACK LABEL 0 75
WHISKY BLACK& WHITE 0.75,WHISKY BLACK& WHITE 0 75
WHISKY BLACK& WHITE 1,WHISKY BLACK & WHITE 1
WHISKY BUCHANAN'S 18 AÑOS,WHISKY BUCHANAN'S 18 AÑOS
WHISKY BUCHANNAS 0.75,WHISKY BUCHANNAS 0 75
WHISKY CHEQUERS 1,WHISKY CHQUERS 0
WHISKY DEWARDS 0.75,WHISKY DEWARDS 0 75
WHISKY HAIG SUPREME 0.75,WHISKY HAIG SUPREME 0 75
WHISKY OLD PARR 0.75,WHISKY OLD PARR 0 75
WHISKY OLD PARR 1,WHISKY OLD PARR
WHISKY OLD PARR 500ML,WHISKY OLD PARR
WHISKY OLD PARR SILVER 0.75,WHISKY OLD PARR SILVER 0 75
TOTAL GENERAL,TOTAL GENERAL
S:\REPORTS\INVENTARIO VALORIZADO COSTOS RPT,S:\REPORTS\INVENTARIO VALORIZADO COSTOS RPT
AGUA GASIFICADA PERRIER,AGUA GASIFICADA PERRIER
AGUA GASIFICADA SPARKLING,AGUA GASIFICADA SPARKLING
AGUAKINA,AGUAKINA
BOLSA DE HIELO,BOLSA DE HIELO
CERVEZA 0 222 ML,CERVEZA 0
CERVEZA BELGA STAR 330ML,CERVEZA BELGA STAR
CERVEZA BUD LIGHT MINI,CERVEZA BUD LIGHT MINI
CERVEZA COOR LIGHT,CERVEZA COOR LIGHT
CERVEZA CORONA,CERVEZA CORONA
CERVEZA CORONITA,CERVEZA CORONA
CERVEZA HEINEKEN MINI,CERVEZA HEINEKEN MINI
CERVEZA LATA 355ML,CERVEZA LATA
CERVEZA MILLER HIGH LIFE,CERVEZA MILLER HIGH LIFE
CERVEZA MILLER LIGHT MINI,CERVEZA MILLER LIGHT MINI
CERVEZA MODELO BOTELA,CERVEZA MODELO BOTELA
CERVEZA MODELO LATA,CERVEZA MODELO LATA
CERVEZA PERONI,CERVEZA PERONI
CERVEZA SANGRIA CAROREÑA VERANO,CERVEZA SANGRIA CAROREÑA VERANO
CERVEZA SOLERA RESERVA 0 222ML,CERVEZA SOLERA RESERVA 0
CERVEZA STELLA ARTOIS,CERVEZA STELLA ARTOIS
CHAMDON EXTRA BRUT,CHAMDON EXTRA BRUT
